title,published_at,duration,view_count,like_count,comment_count,year
¿De cuánto hacemos la siguiente? 💗✨  #parati #makeup #shorts #beautiful,27-01-2023,PT35S,11021006,558167,12015.00,2023
ma dhosthulaku dawath ivvalaa 😂 #shorts #comedy,27-01-2023,PT40S,13724610,434534,0.00,2023
"बापरे, इतना मेहेंगा! 😱😂 | Kaamwali Bai - Part 53 | #shorts | Shorts Break",28-01-2023,PT60S,71741469,3107208,2196.00,2023
ISSEI funny memory 😂😂😂 #Shorts,29-01-2023,PT52S,28633589,1338302,573.00,2023
बस 15 मिनट में आया 😆 | Husband Vs. Wife - Part 29 | #shorts | Shorts Break,29-01-2023,PT55S,13952447,823405,725.00,2023
Emotional army video😔🇮🇳|| Gulshan kalra #shorts,30-01-2023,PT60S,11582558,585203,843.00,2023
Sister VS Me | Eating Lay's | JOLO CHIP PRANK on Sister #minkutinku #shorts #ytshorts #comedy #funny,31-01-2023,PT48S,123649507,2492450,1499.00,2023
"बच्चे है, गलती तो करेंगे 😂 | Maa Beta | #shorts | Shorts Break",31-01-2023,PT48S,26296536,1270486,1358.00,2023
Dance teacher ❤️😍 #shorts  || Jaanvi patel || #nazneen #sagamusic #uchanaamit #newhindisong2022,31-01-2023,PT60S,56737118,0,2560.00,2023
RAMEN YANG COCOK BUAT SI PALING INTROVERT! #shorts #ngeshortsdulu,01-02-2023,PT57S,5813341,335070,695.00,2023
Hài: BẢO VẬT CỦA ÔNG HÀNG XÓM #shorts,01-02-2023,PT60S,7231109,158976,231.00,2023
